ID,Name,ImageURL1,ImageURL2,DesignType,ProductCode
"NmXEN0TbAJeVTo4FoOw9","MAZZALI","https://ik.imagekit.io/php1jcf0t/default_placeholder.jpg","https://ik.imagekit.io/php1jcf0t/default_placeholder.jpg","unique","N/A"
"OUR3NbE2Qj6z2b1oWHlI","WIEN","https://ik.imagekit.io/php1jcf0t/photo_2024-06-14_16-52-14_xEsEChgiH.jpg","https://ik.imagekit.io/php1jcf0t/default_placeholder.jpg","unique","N/A"
"OlBl3ntfXin3tDutmxDj","STREET BURGER TUZ","https://ik.imagekit.io/php1jcf0t/default_placeholder.jpg","https://ik.imagekit.io/php1jcf0t/default_placeholder.jpg","unique","N/A"
"OnIJEi14flAo1dWOXYcG","MONE","https://ik.imagekit.io/php1jcf0t/default_placeholder.jpg","https://ik.imagekit.io/php1jcf0t/default_placeholder.jpg","unique","N/A"
"OrYajBOUE2XyqLNnmqaU","STREET BURGER","https://ik.imagekit.io/php1jcf0t/default_placeholder.jpg","https://ik.imagekit.io/php1jcf0t/default_placeholder.jpg","unique","N/A"
"Ouz1ZVYC4f9mfxld3E9P","DOLCE FREDO (JIGARRANG RANG)","https://ik.imagekit.io/php1jcf0t/default_placeholder.jpg","https://ik.imagekit.io/php1jcf0t/default_placeholder.jpg","unique","N/A"
"PDtmVvVM9KrnVIWDKv51","OLAM AVTO","https://ik.imagekit.io/php1jcf0t/default_placeholder.jpg","https://ik.imagekit.io/php1jcf0t/default_placeholder.jpg","unique","N/A"
"PQcbrULfFOUUoRLTAd84","MASTER KEBAB","https://ik.imagekit.io/php1jcf0t/default_placeholder.jpg","N/A","unique","N/A"
"PvSE4MOgGYF44p6KFVLu","PLOV CITY","https://ik.imagekit.io/php1jcf0t/default_placeholder.jpg","https://ik.imagekit.io/php1jcf0t/default_placeholder.jpg","unique","N/A"
"QF3fRYaCz4ibq8k3oMfq","UZBECHKA","https://ik.imagekit.io/php1jcf0t/default_placeholder.jpg","https://ik.imagekit.io/php1jcf0t/default_placeholder.jpg","unique","N/A"
"QHePKBULQmTuK9mplCvt","TOMYUMBAR","https://ik.imagekit.io/php1jcf0t/photo_2022-06-23_23-45-25_EJ2C7GrNV.jpg","https://ik.imagekit.io/php1jcf0t/default_placeholder.jpg","unique","N/A"
"QWNYmYOEJ45kYwOneBiF","BEK OSIYO OQ RANG","https://ik.imagekit.io/php1jcf0t/bek_osiyo_FVP_1tPoZ.jpg","https://ik.imagekit.io/php1jcf0t/default_placeholder.jpg","unique","N/A"
"Qa8Dm4IkzauIew7xh6ST","TIM","https://ik.imagekit.io/php1jcf0t/default_placeholder.jpg","https://ik.imagekit.io/php1jcf0t/default_placeholder.jpg","unique","N/A"
"QqgrXdLiti6ByMwPFR9T","INTERNATIONAL HOTEL OQ SHAKAR","https://ik.imagekit.io/php1jcf0t/default_placeholder.jpg","https://ik.imagekit.io/php1jcf0t/default_placeholder.jpg","unique","N/A"
"QxrQafOMfWZPaytpejxe","COURTYARD JIGARRANG","https://ik.imagekit.io/php1jcf0t/default_placeholder.jpg","https://ik.imagekit.io/php1jcf0t/default_placeholder.jpg","unique","N/A"
"R9VRgRAOMbdLO53QNyYs","ACTION","https://ik.imagekit.io/php1jcf0t/photo_2025-08-27_19.20.16_GYrMPgM1Vq.jpeg","https://ik.imagekit.io/php1jcf0t/default_placeholder.jpg","unique","N/A"
"Rb71Lw9YlUyvVRkj7Hkx","HORIZON","https://ik.imagekit.io/php1jcf0t/default_placeholder.jpg","https://ik.imagekit.io/php1jcf0t/default_placeholder.jpg","unique","N/A"
"RjaZdCKDYpOn0aTAEdpc","LA CREMA (OQ RANG)","https://ik.imagekit.io/php1jcf0t/default_placeholder.jpg","https://ik.imagekit.io/php1jcf0t/default_placeholder.jpg","unique","N/A"
"RpCxpqFtqtSZMX5SSRPv","UCAFE","https://ik.imagekit.io/php1jcf0t/default_placeholder.jpg","https://ik.imagekit.io/php1jcf0t/default_placeholder.jpg","unique","N/A"
